investimento_fsa,coproducao,fomento_indireto,publico_total,qtd_sessoes,dias_cartaz,renda_total,independente,cat_duracao,animacao,documentario,ficcao,variedades,videomusical
False,False,False,11595.0,177.0,58.0,129769.46,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,4890.0,6.0,6.0,37381.8,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1235.0,2.0,2.0,5677.85,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,5296.0,5.0,5.0,53744.09,True,LONGA METRAGEM,False,True,False,False,False
False,False,False,3180.0,167.0,35.0,41418.1,False,LONGA METRAGEM,False,False,True,False,False
True,True,True,392.0,54.0,36.0,4791.27,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,1970.0,310.0,92.0,24120.9,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,675.0,57.0,53.0,4701.0,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,2079.0,289.0,58.0,25215.7,True,LONGA METRAGEM,False,False,True,False,False
False,False,True,439.0,54.0,45.0,8753.66,True,MÉDIA METRAGEM,False,False,True,False,False
False,False,True,1355.0,109.0,54.0,14162.07,True,LONGA METRAGEM,False,False,True,False,False
False,True,False,4256.0,10.0,6.0,50125.34,False,LONGA METRAGEM,False,False,True,False,False
False,True,False,536.0,45.0,34.0,5447.5,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,1505.0,41.0,35.0,17987.79,True,LONGA METRAGEM,False,False,True,False,False
False,False,False,745.0,55.0,30.0,5538.02,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,3140771.0,114.0,30.0,34826391.63,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,4605742.0,644.0,76.0,49579418.68,True,LONGA METRAGEM,False,False,True,False,False
True,False,True,163072.0,1471.0,77.0,1615129.0,True,LONGA METRAGEM,True,False,False,False,False
False,False,False,860.0,117.0,44.0,8530.29,True,LONGA METRAGEM,False,False,True,False,False
False,True,False,2283.0,115.0,56.0,28026.14,True,LONGA METRAGEM,False,True,False,False,False
False,False,True,1429862.0,9041.0,72.0,15888595.19,True,LONGA METRAGEM,False,False,True,False,False
