ano_exibicao,distribuidora,origem_empresa,publico,publico_br,renda,renda_br,titulos_exibidos,titulos_exibidos_br,titulos_lancados,titulos_lancados_br
2018,Bang Filmes,Distribuição Nacional,1037,1037,7242.0,7242.0,1,1,1,1
2018,Bela Filmes,Distribuição Nacional,1251,1251,11961.0,11961.0,1,1,1,1
2018,Bizum,Distribuição Nacional,154,154,847.0,847.0,2,2,2,2
2018,Bond'S Filmes,Distribuição Nacional,167,167,2305.0,2305.0,1,1,1,1
2018,Bonfilm,Distribuição Nacional,21131,0,308114.0,0.0,7,0,5,0
2018,Boulevard Filmes,Distribuição Nacional,5488,5488,61075.0,61075.0,3,3,3,3
2018,Boutique Filmes,Distribuição Nacional,359,359,5592.0,5592.0,1,1,1,1
2018,Brasil 1500,Distribuição Nacional,2826,2826,40660.0,40660.0,2,2,1,1
2018,Bretz Filmes,Distribuição Nacional,3126,3126,41985.0,41985.0,3,3,2,2
2018,Bretz Filmes/Pagu Pictures,Distribuição Nacional,3158,3158,48332.0,48332.0,2,2,1,1
2018,Caliban,Distribuição Nacional,4720,4720,65100.0,65100.0,1,1,1,1
2018,Califórnia,Distribuição Nacional,636453,8517,10316061.0,121650.0,21,1,18,1
2018,Califórnia/Diamond Films,Distribuição Nacional,3651,0,58110.0,0.0,1,0,1,0
2018,Cavideo Produções,Distribuição Nacional,551,551,8674.0,8674.0,3,3,3,3
2018,Cineart Filmes,Distribuição Nacional,130709,0,1943076.0,0.0,11,0,7,0
2018,Cinecolor Do Brasil,Distribuição Nacional,2493,0,53324.0,0.0,1,0,1,0
2018,Cinemark Brasil,Distribuição Nacional,112174,0,1796451.0,0.0,1,0,1,0
2018,Com Domínio Filmes,Distribuição Nacional,332,332,4991.0,4991.0,1,1,1,1
2018,Complô,Distribuição Nacional,25,25,160.0,160.0,1,1,0,0
2018,Copa Filmes,Distribuição Nacional,322,322,4202.0,4202.0,1,1,1,1
2018,Dada' N Zen Produções,Distribuição Nacional,489,489,7435.0,7435.0,1,1,1,1
2018,Descoloniza Filmes,Distribuição Nacional,4231,1765,60113.0,26517.0,4,2,4,2
2018,Diamond Films,Distribuição Nacional,1452522,0,23675613.0,0.0,28,0,24,0
2018,Disney,Distribuição Internacional,39619366,0,629277088.0,0.0,26,0,10,0
2018,Dm Filmes,Distribuição Nacional,220,220,2707.0,2707.0,1,1,1,1
2018,Downtown,Distribuição Nacional,287947,287947,4112379.0,4112379.0,2,2,2,2
2018,Downtown/Paris,Distribuição Nacional,20557849,20557849,239062247.0,239062247.0,16,16,12,12
2018,Elo Company,Distribuição Nacional,36355,36355,384407.0,384407.0,16,16,16,16
2018,Embaúba Filmes,Distribuição Nacional,147,147,1100.0,1100.0,1,1,1,1
2018,Embaúba Filmes/Pique-Bandeira Filmes,Distribuição Nacional,11749,11749,157981.0,157981.0,1,1,1,1
2018,Engady Cine Vídeo,Distribuição Nacional,340,340,4323.0,4323.0,1,1,1,1
2018,Erika Fromm,Distribuição Nacional,1406,0,24854.0,0.0,1,0,1,0
2018,Esfera Produções,Distribuição Nacional,8692,0,133589.0,0.0,5,0,3,0
2018,Espaço Dos Satyros,Distribuição Nacional,1718,1718,21637.0,21637.0,1,1,0,0
2018,Espaço Filmes,Distribuição Nacional,17344,8563,296357.0,142753.0,7,4,6,4
2018,Espiral,Distribuição Nacional,205,205,2661.0,2661.0,1,1,1,1
2018,Estação Luz Filmes,Distribuição Nacional,9541,9541,141001.0,141001.0,1,1,1,1
2018,Europa,Distribuição Nacional,50545,942,738125.0,12082.0,4,3,1,1
2018,F. J. Cines,Distribuição Nacional,5006,0,58256.0,0.0,10,0,4,0
2018,Fênix Filmes,Distribuição Nacional,37192,0,519571.0,0.0,6,0,4,0
2018,Fênix Filmes/Tucumán,Distribuição Nacional,10001,5526,157466.0,86119.0,2,1,2,1
2018,Filmes Da Mostra,Distribuição Nacional,225,0,2409.0,0.0,7,0,0,0
2018,Fox,Distribuição Internacional,16089616,292790,250380953.0,4182472.0,22,2,15,1
2018,Griot Produções,Distribuição Nacional,45,45,640.0,640.0,2,2,2,2
2018,Gullane Entretenimento,Distribuição Nacional,9133,9133,130030.0,130030.0,1,1,1,1
2018,H2O Films,Distribuição Nacional,67127,62439,1067057.0,999412.0,4,3,4,3
2018,Imagem,Distribuição Nacional,2066678,628351,30146148.0,9197686.0,20,6,15,6
2018,Imagem/Califórnia,Distribuição Nacional,1133842,0,17163859.0,0.0,5,0,5,0
2018,Imovision,Distribuição Nacional,500613,66264,7983999.0,1025772.0,59,9,38,7
2018,Inquieta Cinema Cultura E Comunicação,Distribuição Nacional,2265,2265,19699.0,19699.0,4,4,3,3
2018,Interagir Cultural,Distribuição Nacional,1207,1207,10797.0,10797.0,1,1,1,1
2018,It Filmes,Distribuição Nacional,2836,2836,43868.0,43868.0,1,1,1,1
2018,Ivin Films,Distribuição Nacional,3749,3749,86109.0,86109.0,1,1,1,1
2018,Kinopus,Distribuição Nacional,1067,1067,10261.0,10261.0,1,1,1,1
2018,Lança Filmes,Distribuição Nacional,69225,8380,738353.0,105398.0,6,3,4,1
2018,Latinamerica Entretenimento Internacional,Distribuição Nacional,750,750,9401.0,9401.0,4,4,4,4
2018,Lira Filmes,Distribuição Nacional,2286,2286,31830.0,31830.0,1,1,1,1
2018,Livres Filmes,Distribuição Nacional,3959,3959,48318.0,48318.0,3,3,2,2
2018,Lume Produções Cinematográficas,Distribuição Nacional,66,66,450.0,450.0,1,1,0,0
2018,Mac Comunicação,Distribuição Nacional,689,689,7506.0,7506.0,1,1,1,1
2018,Máquina Filmes,Distribuição Nacional,2538,2538,24710.0,24710.0,1,1,1,1
2018,Mares Filmes/A2 Filmes,Distribuição Nacional,108745,0,1725053.0,0.0,6,0,6,0
2018,Mercúrio Produções,Distribuição Nacional,5121,5121,69773.0,69773.0,1,1,1,1
2018,Mira Filmes,Distribuição Nacional,199,199,769.0,769.0,1,1,1,1
2018,Miração Filmes,Distribuição Nacional,375,375,4298.0,4298.0,1,1,1,1
2018,Modo Operante Produções,Distribuição Nacional,0,0,0.0,0.0,1,1,0,0
2018,Moro Comunicação,Distribuição Nacional,1301,0,14470.0,0.0,2,1,1,0
2018,Muk Produções/Enkapothado,Distribuição Nacional,573,573,10049.0,10049.0,1,1,1,1
2018,Nozes Produções,Distribuição Nacional,6,6,70.0,70.0,1,1,1,1
2018,O2 Play,Distribuição Nacional,43569,43569,570486.0,570486.0,9,9,8,8
2018,Okna Produções,Distribuição Nacional,198,0,1569.0,0.0,1,0,0,0
2018,Olé Produções,Distribuição Nacional,58,58,855.0,855.0,1,1,0,0
2018,Olhar Distribuição,Distribuição Nacional,28103,28103,364332.0,364332.0,5,5,2,2
2018,Pagu Pictures,Distribuição Nacional,85282,47430,1372586.0,752411.0,6,4,6,4
2018,Paleotv,Distribuição Nacional,1355,1355,10352.0,10352.0,1,1,1,1
2018,Panda Filmes,Distribuição Nacional,1178,1178,17097.0,17097.0,1,1,1,1
2018,Pandora Filmes,Distribuição Nacional,179105,11168,2814410.0,143800.0,21,7,14,5
2018,Paramount,Distribuição Internacional,5929825,0,96523550.0,0.0,12,0,7,0
2018,Paris,Distribuição Nacional,6950064,992366,102121573.0,14145325.0,37,5,28,5
2018,Pietà Filmes,Distribuição Nacional,394,394,7020.0,7020.0,1,1,1,1
2018,Pipa Produções,Distribuição Nacional,1752,1752,13508.0,13508.0,2,2,1,1
2018,Pipoca & Filmes,Distribuição Nacional,4100,4100,52066.0,52066.0,2,2,2,2
2018,Playarte,Distribuição Nacional,358610,0,5079974.0,0.0,8,0,6,0
2018,Polifilmes/Spcine,Distribuição Nacional,113,113,1130.0,1130.0,1,1,0,0
2018,Raiz Distribuidora,Distribuição Nacional,108,108,520.0,520.0,1,1,1,1
2018,Rb6,Distribuição Nacional,607,607,8435.0,8435.0,1,1,1,1
